Disaster_Type,Country,Year,Total_Deaths,Injured,Damage_USD,Displaced_People,Latitude,Longitude
Volcanic Eruption,Bangladesh,2023,59,101,2700248845,350162,-0.435833431,-111.0227913
Flood,Brazil,1976,53,105,4480208552,254572,-38.45918428,-83.61460124
Storm,India,1984,40,128,1531282730,911200,76.6981874,-78.36801917
Wildfire,Indonesia,1992,45,106,3453125891,540853,-26.11440101,61.3848955
Drought,China,1983,45,90,1069024291,531117,40.47692348,-101.5831486
Drought,Mexico,1992,65,100,3593272255,256680,-39.95811637,63.59698962
Wildfire,Bangladesh,1988,58,112,1177050613,76023,-13.93823407,-147.1924176
Tsunami,India,2023,40,110,4233501570,428651,1.88386518,-127.007114
Landslide,Philippines,1998,45,109,723373906,81823,-33.08751937,3.175721457
Flood,Mexico,1989,45,111,4913766862,563229,2.994340692,151.8824889
Drought,Japan,1998,63,101,2743954048,775469,-37.99720478,129.444332
Storm,Indonesia,1993,54,99,3696521582,697819,18.26091546,168.7512393
Flood,India,1987,75,88,2285980491,441192,32.91985535,54.1724635
Storm,USA,1979,57,106,1765981747,897971,-51.25920024,63.29335191
Tsunami,Brazil,2010,53,119,2728105427,472415,61.95849695,45.00827962
Earthquake,Brazil,1977,61,102,4479720081,533464,-34.08027609,44.21481223
Flood,Bangladesh,1995,32,113,4295506302,257505,-28.44926046,-127.0366758
Volcanic Eruption,Philippines,1998,58,105,4560290952,837948,32.58897761,15.74602422
Drought,Bangladesh,1979,49,111,3661700189,670432,5.625148461,-41.01554396
Flood,USA,1986,48,99,4265982737,988556,9.915383884,-20.68660232
Flood,China,1971,63,94,3507233103,359512,-42.05830216,8.496206301
Flood,Philippines,1975,46,97,3659807428,412905,52.80301506,-133.7773782
Landslide,Nigeria,1974,47,117,2689370844,149671,26.38759445,-50.58441581
Flood,China,1997,47,104,3962358180,649958,-41.04651394,-157.1581581
Storm,Philippines,2010,53,96,154495933,82045,-7.640088616,172.680527
Earthquake,Philippines,1974,45,97,2881678482,166460,53.45739058,-137.3299096
Tsunami,USA,1987,40,118,213965847,381047,19.56970644,-86.93109412
Wildfire,Japan,1995,49,85,4628962156,574891,-44.78917092,140.8654536
Flood,USA,1989,37,98,599733220,336880,-7.811213589,-6.224383354
Drought,Philippines,2010,57,103,1799150843,287933,-26.02278422,-131.1706075
Flood,India,2018,48,101,4502994350,732792,12.44517751,-41.67700631
Drought,China,1996,60,94,4238186084,480683,58.07055804,-138.2875221
Storm,USA,2018,51,113,3917135720,875055,1.077398873,-107.922241
Drought,Japan,1981,57,116,3081763192,482505,0.667884252,-161.2692551
Volcanic Eruption,Indonesia,1976,49,92,453229400,838714,66.74912633,-22.23810196
Wildfire,Bangladesh,1972,51,116,2649834906,295608,20.66595775,110.3890038
Earthquake,Philippines,1979,56,116,1369817476,198878,19.26675224,30.94890433
Drought,Nigeria,2003,43,123,2909392408,828426,-23.33261514,38.28430997
Drought,Indonesia,1994,43,106,1421357649,518936,25.0811847,-107.7897492
Earthquake,Brazil,2004,52,99,4360211412,212668,20.62746544,-56.19821643
Wildfire,Mexico,1985,51,106,237429184,239103,-4.440794152,124.2871574
Flood,Japan,1971,46,101,1212439582,369453,78.69737923,-148.3717736
Drought,Nigeria,1993,52,124,2962565428,123189,63.46473509,128.8550353
Earthquake,Mexico,1979,53,90,112019143,91123,44.94208061,-5.871590545
Volcanic Eruption,Japan,2007,55,97,4253392336,768748,15.22838238,121.3730753
Volcanic Eruption,India,1991,43,100,1386114990,812026,4.688372265,-65.51768902
Storm,Bangladesh,1995,40,106,3621469424,707923,-34.11436467,-58.01653743
Earthquake,Indonesia,2012,54,84,775363109,904838,-17.19675364,90.5777526
Storm,China,2008,43,89,271145981,735712,48.35451198,102.5986224
Volcanic Eruption,Japan,1996,57,92,662241674,629309,3.524853551,-97.32791592
Wildfire,China,1998,52,96,3908579815,217912,63.51773232,170.2336769
Flood,Bangladesh,2016,54,87,4031127615,290530,-39.29244091,-149.5835625
Earthquake,Philippines,2007,58,88,4349861396,772092,11.16859344,-155.3389333
Tsunami,Brazil,1989,53,116,1329037115,590940,30.57519576,34.3815175
Volcanic Eruption,Indonesia,1996,67,100,1610343019,356979,12.35878388,80.1866764
Volcanic Eruption,Bangladesh,2010,52,101,1834053260,884555,64.49176482,165.9190065
Tsunami,Bangladesh,2023,55,102,2502224514,279684,78.53885946,-34.21951891
Landslide,India,1989,44,85,2000717467,899915,-43.78314783,-170.8950928
Volcanic Eruption,Mexico,2013,62,98,3087370644,820188,-41.80631343,37.0426822
Drought,Brazil,1988,41,109,612874576,960930,-41.7546241,-75.70943258
Wildfire,Indonesia,1989,50,85,3320823807,136659,35.36479345,-24.13903637
Earthquake,Philippines,2004,41,110,2741659530,476964,-7.825346631,-4.15098639
Tsunami,Philippines,2016,44,103,2526675968,736699,42.66405258,-156.7754601
Drought,USA,1971,54,96,2771842495,89792,-3.233993796,-5.046557557
Tsunami,Bangladesh,1999,56,100,1439196509,835471,27.86494099,-26.52491995
Earthquake,Japan,2022,49,89,3950475244,403485,47.7801208,76.5159355
Storm,India,2003,45,110,2808706414,6088,16.75022749,52.43972804
Earthquake,Brazil,1991,51,109,2920160291,362793,15.53050266,-113.3223415
Landslide,Philippines,1972,62,92,4160073569,42044,-47.64719446,-105.7899894
Earthquake,Indonesia,1975,60,115,2819121480,944585,-2.490555993,-89.63777564
Earthquake,USA,1984,53,114,4225790987,716748,16.40880145,-115.5778415
Landslide,Indonesia,1996,49,104,4792948246,141615,4.677315593,56.59675188
Wildfire,India,1979,54,100,1969834711,3005,66.10948003,177.9948645
Volcanic Eruption,Japan,1978,43,100,3645828663,299347,66.9142885,54.75900259
Earthquake,USA,2002,39,89,2584107513,278364,55.06843328,38.40535663
Landslide,USA,2001,39,88,1492544383,108991,-7.458269448,-32.42594399
Drought,Mexico,2017,57,133,1130738728,32696,40.42188124,-67.47110681
Storm,Brazil,1975,41,93,4911651518,735043,-4.65961545,147.9865525
Storm,USA,2010,43,103,561864154,570669,-27.43689614,168.8406747
Earthquake,Mexico,2005,57,109,871539221,965488,-11.9936299,-1.160576788
Wildfire,Mexico,1971,53,92,4776341965,522779,-50.06495134,-75.52782162
Wildfire,India,1998,54,120,2750898854,760292,-13.55114874,97.24399476
Drought,China,1973,53,106,196862194,131148,4.503910417,-132.3155553
Earthquake,Indonesia,1970,60,98,579423941,366200,73.76732527,95.61176555
Storm,Japan,1988,42,90,4000896807,150018,-16.12251793,114.8214148
Wildfire,Nigeria,1995,44,103,2826326798,476708,66.34349549,-135.0345799
Earthquake,Indonesia,1994,40,109,4797417466,809903,-27.95984138,171.6701288
Tsunami,USA,1979,61,95,1785101184,375442,-33.26435431,174.7844245
Wildfire,Japan,2022,53,85,802355159,454747,12.6593639,157.2190126
Landslide,Philippines,1984,49,88,4735843751,431954,34.1515917,-1.427468614
Tsunami,China,1991,64,104,1299483424,171792,-53.79348489,-91.41330878
Volcanic Eruption,Philippines,2020,59,116,4369618056,356817,-29.05077889,29.52334112
Wildfire,Philippines,2017,44,93,1257869264,514513,3.79571331,-28.82381815
Storm,Brazil,1990,45,99,1822290270,810872,-13.65939296,-105.8584879
Flood,Indonesia,1991,53,106,2487240774,274006,39.76695111,-27.47649254
Tsunami,Nigeria,2005,45,93,4333860009,625703,11.56248345,59.00034084
Volcanic Eruption,India,2003,53,97,89353774,68273,-37.54972522,-154.4712081
Drought,Nigeria,1999,57,110,4196871737,369992,65.2251531,-59.96951948
Drought,Philippines,1994,53,92,4582234572,546076,-18.99320543,-173.5938396
Storm,USA,2014,52,100,2524535522,680882,42.35835526,89.81838197
Wildfire,China,1997,45,89,605856652,70185,49.18820907,50.64885634
Earthquake,Bangladesh,1970,45,98,1398866241,724764,74.84207804,-157.4380315
Wildfire,Nigeria,2018,50,110,244105735,707649,9.791045313,167.3055215
Storm,Philippines,2014,69,102,194994042,392827,26.21697217,-171.8562394
Drought,China,1973,46,110,1349952040,663184,-13.11731891,32.38583273
Wildfire,Japan,1976,45,106,2468620695,382968,34.94510108,99.49228625
Drought,Indonesia,2018,47,94,1355015316,7799,4.873688021,103.6426727
Tsunami,Mexico,1978,47,100,3710548054,784492,1.271331061,-167.6573512
Volcanic Eruption,Brazil,2005,53,92,1053924251,609694,59.76545408,146.3094478
Earthquake,China,1988,57,108,4371526452,831579,-52.97636191,150.6426019
Tsunami,USA,1970,37,104,2116407878,782703,63.4747399,22.10053434
Drought,USA,1979,40,92,1284447172,647987,59.2897773,-6.450048401
Drought,China,2005,63,92,496597256,795046,10.8912755,-163.8477133
Flood,USA,1978,58,103,3862557675,549435,8.628399589,22.3034913
Flood,Indonesia,2014,54,101,125989773,338781,-9.346968475,-32.62353056
Tsunami,USA,2015,42,94,4395179626,892642,79.18433084,98.21030667
Landslide,Nigeria,2011,53,73,4238581026,20914,-44.43629341,-34.60191592
Tsunami,Mexico,2001,47,107,2105706678,850131,22.63013299,66.0891
Flood,USA,2001,57,109,871241184,271759,35.43542262,-143.4930674
Drought,Mexico,1975,57,99,855888769,50785,70.80620115,-132.1371825
Storm,Philippines,2017,60,106,350097198,350733,49.22848956,-129.7043314
Tsunami,India,2007,52,86,4517159404,231129,30.13860839,-163.6108201
Drought,Indonesia,1986,48,95,4797768640,451027,-43.64627565,14.87838934
Storm,India,1979,39,104,1738229526,341161,-7.677307644,105.8283814
Storm,Philippines,2019,59,103,4476141834,309042,-40.56217004,39.74803333
Flood,Indonesia,1996,43,107,1321485962,389911,63.36978255,26.9837588
Tsunami,China,2023,46,101,1314650582,895850,44.94696178,65.02461422
Wildfire,China,2019,58,113,209853397,317649,46.05515015,-57.72768369
Earthquake,Mexico,2004,48,97,3380456951,76031,31.31591249,-49.69653421
Flood,Philippines,2021,41,102,678749613,91818,10.98609517,-66.86276464
Flood,Mexico,1990,49,115,1685228157,385096,-39.00405168,76.35921583
Wildfire,Brazil,1994,55,108,3626555659,524434,-13.84271586,-121.8094792
Earthquake,USA,1997,55,123,3466486270,695635,-40.83178905,-175.3108991
Drought,Bangladesh,2016,57,103,2684477124,933481,41.48784,34.63072082
Landslide,Brazil,1984,43,95,1220922275,434781,-37.56797136,159.2572913
Tsunami,USA,1973,53,102,533588806,762430,38.29589702,39.38685012
Landslide,Indonesia,1998,48,85,2872565376,951449,36.91575454,101.8517951
Drought,Mexico,1978,59,107,1668726264,109822,4.302627059,62.20465541
Volcanic Eruption,Indonesia,1996,49,116,1715257610,232798,-41.06798842,-0.922804732
Flood,Indonesia,1995,43,94,4151993349,2594,-15.92788434,78.62126464
Earthquake,USA,1988,50,98,3360099180,600898,-15.18696473,116.6774846
Flood,Philippines,1997,51,102,2289465351,188727,38.05391864,-99.0966081
Storm,USA,1986,57,108,2684594953,420647,-44.07597728,-58.99302703
Flood,Japan,2012,55,85,4580529040,213756,56.06961047,-99.4587363
Flood,China,2010,50,84,1711729988,646812,46.54102063,-17.21773599
Drought,China,2011,49,112,4220354652,612485,-33.91703146,138.6232383
Drought,Brazil,2019,62,118,1179313031,682931,40.68301345,-55.7254437
Drought,China,1989,66,104,3001341683,502912,33.59184541,-45.19191991
Landslide,USA,2014,53,94,4952454360,459187,44.73691202,129.7322045
Storm,Nigeria,2009,41,87,4759932502,848229,-33.55000224,5.534759068
Volcanic Eruption,Mexico,2008,39,99,459080033,568225,-37.9373549,12.76163987
Volcanic Eruption,USA,2018,49,101,2463247432,904050,-26.89224197,129.8884332
Drought,USA,2022,44,110,4944657656,715003,-8.777961559,-3.410374671
Earthquake,Bangladesh,1992,48,109,1338635462,475270,51.11309735,65.36071247
Landslide,Mexico,2016,54,97,809090997,487242,43.30935125,-149.1679203
Wildfire,Japan,2001,50,112,4737700261,741898,69.56322292,-115.6925833
Earthquake,China,2021,45,101,1450185128,762659,-51.79186173,-34.42456774
Tsunami,Mexico,2016,42,84,2818143567,322195,-58.38212066,-1.857935585
Tsunami,China,2002,44,90,3974905545,461118,37.87943616,167.6641324
Earthquake,Brazil,2015,56,105,3875071677,340047,-20.89975059,169.4345879
Drought,Mexico,1974,52,97,4090141010,601278,-13.22895463,126.4309515
Wildfire,China,2012,38,104,3617828991,861636,16.55228363,-66.3844193
Wildfire,Japan,2017,48,101,1761275592,331095,-45.66216276,167.0501847
Landslide,India,2003,54,87,3748840743,621597,29.97721832,68.16271128
Wildfire,Indonesia,2009,44,97,685023747,911773,-14.47935753,-38.54155399
Tsunami,Indonesia,1980,48,118,4900781247,651110,28.5801174,72.60297011
Storm,Japan,2019,70,87,2138370468,206840,56.76096783,-174.0518173
Drought,Bangladesh,1972,47,96,1181563788,160111,-36.04441333,-127.3843144
Wildfire,India,2002,54,103,2911326416,902126,70.32223301,118.6868562
Landslide,Brazil,1980,41,111,166068925,943072,14.29633975,52.40650927
Tsunami,Japan,1985,57,91,4200875154,37459,69.20988712,-48.88990753
Storm,Indonesia,1987,46,102,2180954658,138741,-30.91778849,0.23999048
Flood,Indonesia,1999,56,91,2372971917,220821,24.63877304,145.8511739
Flood,Indonesia,2017,48,96,2082076929,739176,-3.455803575,47.36811941
Storm,Philippines,1979,48,98,2308590756,84985,48.39110676,-36.66625778
Tsunami,Japan,1987,50,108,2920035675,690876,24.82725205,-136.6824033
Landslide,USA,2007,61,102,3162080848,717844,9.232163974,-74.25115141
Storm,Brazil,1988,64,99,4023164915,219684,67.8179569,172.2024838
Drought,Indonesia,2005,57,91,2688110308,784629,-7.203611016,-22.54929737
Drought,China,1982,34,114,1653323944,522522,-29.20277131,-10.13779302
Flood,Japan,2015,51,112,4867855623,199269,25.13416616,-0.504708337
Wildfire,Philippines,1972,53,96,1656916033,248738,27.3639812,138.2774483
Landslide,Japan,1979,68,98,4050962827,940837,1.47324702,37.41418238
Flood,Brazil,2007,41,98,1327802808,88295,8.125406117,69.72373312
Wildfire,Philippines,1970,51,99,1953096520,448827,74.337478,-39.81112468
Wildfire,Brazil,1996,53,114,3069532923,310085,42.5759968,-169.5284573
Volcanic Eruption,Japan,2015,49,103,1729426803,634191,-44.51575479,155.1502491
Drought,USA,1977,37,106,808384605,825307,-30.30179008,161.6859651
Tsunami,Brazil,2020,50,116,2323974198,915407,76.58072882,161.6950992
Earthquake,Philippines,2015,50,90,4185533192,668058,41.70517753,159.7273512
Tsunami,Philippines,2011,53,113,1677497167,96500,68.10631766,113.4870988
Earthquake,Brazil,1986,59,90,3907981305,323970,-17.45939504,66.45457804
Storm,Nigeria,1978,50,99,969747038,162480,43.86136041,124.0235706
Drought,Japan,1975,53,92,813646468,124628,39.96037919,36.19664604
Wildfire,Nigeria,2012,49,98,3348407674,743781,-18.74340204,-131.626939
Landslide,Bangladesh,1994,41,99,163755040,603133,17.11428556,-39.16146059
Earthquake,Japan,2008,51,110,563800607,363109,27.83811558,169.6661683
Tsunami,Brazil,2018,48,107,1474931349,670493,7.358453516,-53.59038711
Wildfire,India,1997,59,124,4716974773,645141,55.80501893,132.4180489
Earthquake,Brazil,2002,39,114,4842508234,204818,56.60166585,-146.4438705
Earthquake,Nigeria,2023,59,107,265854358,691486,59.08407676,-59.69381674
Volcanic Eruption,USA,2006,55,90,3891360619,33043,52.47929967,-53.6568031
Earthquake,Brazil,1978,53,84,941883967,397294,8.331686808,-161.4230845
Landslide,Brazil,1987,56,104,4001744400,53906,-6.598638259,-137.1260411
Drought,USA,1990,53,105,1937152929,535425,56.39267972,-110.460524
Landslide,Brazil,1971,41,102,1155844166,291494,8.628204198,121.6136127
Flood,Indonesia,2012,52,120,1763216931,266842,-25.50800419,-157.1752836
Wildfire,India,2007,48,133,3049571795,130119,11.02809453,-72.46767552
Drought,China,2009,54,93,3998360478,950636,-40.14102493,-176.3369991
Volcanic Eruption,India,2005,39,105,2425092097,10165,36.82812868,70.42598835
Drought,Brazil,2019,50,100,2781220271,131866,-12.97102057,43.30911242
Drought,Indonesia,2012,51,106,1356266063,406862,-23.50776822,52.19361434
Tsunami,Japan,2006,58,96,926503682,744075,73.91122447,-45.2221975
Drought,Brazil,1984,49,89,2550904826,923374,48.76333941,-105.0235843
Volcanic Eruption,Nigeria,1997,58,96,289609327,623181,50.18973038,79.31527678
Landslide,Indonesia,1987,48,108,3069933240,292880,27.3210757,112.0024342
Drought,USA,2003,50,96,3020957055,233689,57.48419347,-130.1034607
Storm,Indonesia,1991,44,109,3835021319,844516,46.28274736,-4.741405943
Wildfire,USA,1980,50,91,901132708,16211,23.82831858,-90.46235449
Drought,Bangladesh,1982,40,89,3705055131,86665,74.55741626,-119.48153
Wildfire,China,1973,66,91,915568400,977042,-33.17670704,84.35711286
Storm,Mexico,1991,42,99,1678504167,662737,72.07316066,13.71489677
Storm,Indonesia,1976,46,113,4944980596,664221,-3.79865732,-102.1732803
Wildfire,Philippines,2012,46,99,1245328969,411037,13.97585768,-68.39999596
Earthquake,Nigeria,2023,51,98,1358645981,340632,-42.81649526,167.9953217
Flood,Brazil,1993,49,102,3279516278,467799,15.61504145,125.5246433
Tsunami,Nigeria,1973,47,88,4391057686,158025,25.56894526,136.7808274
Earthquake,India,1997,44,90,1076178777,390014,79.67821585,-14.39564505
Earthquake,Mexico,1984,56,95,492009563,823233,76.52693755,44.57061501
Landslide,India,1970,54,77,3796713958,18277,75.29562086,-44.36361353
Tsunami,Bangladesh,1972,48,106,857161063,517282,-11.22567159,-152.0236888
Tsunami,Mexico,1983,47,109,3533142876,870194,78.77730982,-35.61504816
Earthquake,Mexico,2007,43,102,62378377,415844,3.766941223,33.83307115
Drought,India,2019,43,99,1210230580,344390,59.25707623,-76.62806252
Landslide,USA,1970,47,99,4612468803,653638,-29.71520434,125.2622069
Landslide,India,2007,46,98,4044392142,814234,10.81664515,-125.6039427
Storm,Nigeria,2007,40,91,368325017,981001,75.24169346,-47.8335278
Volcanic Eruption,USA,1990,50,94,875466995,477536,72.58439557,-135.0345941
Tsunami,Nigeria,2017,62,109,1207617119,384938,35.72288289,-34.26043177
Earthquake,Bangladesh,1998,45,125,2425815949,200886,51.69400516,-165.7219302
Storm,Brazil,1974,45,117,319070199,446918,-35.30026248,-81.88221778
Wildfire,Japan,2018,34,107,3848188831,259717,41.03219693,-35.73530816
Flood,USA,1979,57,91,809190877,946181,26.52711317,-7.86046922
Volcanic Eruption,Bangladesh,1997,50,107,3949166935,662860,-47.18275699,15.73068905
Volcanic Eruption,Philippines,1990,41,109,4592976507,4015,-44.15773908,-81.00319328
Volcanic Eruption,Bangladesh,2019,47,110,1495437589,480588,-44.81789351,8.294880461
Landslide,India,1976,51,89,2800350070,654593,41.40997088,3.241663762
Wildfire,India,1972,48,97,4421647103,320956,-40.15987085,-66.17590168
Volcanic Eruption,Japan,2014,53,108,4788652973,532114,5.482517956,118.872119
Wildfire,Bangladesh,2016,49,96,1250435206,9201,-10.02254718,16.43080557
Drought,China,1989,40,94,3965258417,553336,17.07057971,-60.38290125
Volcanic Eruption,Brazil,1988,56,109,1400452566,907903,38.90670821,161.0418643
Flood,India,2004,50,104,1058366624,19941,35.86115521,124.2404687
Wildfire,Japan,1973,52,86,2877635536,867073,12.17278823,173.7316122
Wildfire,Brazil,1974,34,106,2187821816,58418,5.006882305,69.20419487
Flood,Bangladesh,1970,43,114,2895009707,721049,-4.305816683,-43.83975402
Volcanic Eruption,Bangladesh,1973,55,90,2476106295,303685,60.66739276,-78.89016
Flood,Mexico,1981,41,100,283097030,443155,-13.68074732,58.79442372
Wildfire,Japan,1996,42,124,79671804,70422,-23.68878504,173.0939697
Flood,India,2011,44,106,3905116665,380213,44.06416911,45.61742884
Wildfire,China,1992,45,112,2801122562,155022,-9.633115362,137.3813788
Wildfire,Bangladesh,1994,35,91,2954144116,645253,58.57980397,-61.52276482
Drought,China,1990,35,96,1530463183,723163,-14.09557939,-33.49663831
Earthquake,Bangladesh,2021,50,100,956163958,151714,38.27227544,146.2590863
Wildfire,India,1993,51,102,4090555519,459722,-53.68473912,92.4720127
Volcanic Eruption,Brazil,1994,43,104,4118043311,41607,-6.021196785,173.3077153
Storm,Indonesia,2014,52,112,3114127055,424504,-11.9477755,98.9151155
Landslide,Brazil,2015,56,113,2198117124,374261,54.3350235,-18.5343454
Tsunami,Bangladesh,2001,41,87,1798404139,345009,75.38775645,11.18448714
Earthquake,Nigeria,2001,54,102,4461018269,520880,4.523378737,144.1855773
Earthquake,Indonesia,1974,54,120,1864248963,538738,55.4770788,18.592825
Earthquake,Indonesia,2005,44,100,2893616724,792050,37.95725813,-88.0569453
Drought,China,2015,43,104,1813399615,778239,75.43403827,-23.1768674
Wildfire,Japan,2011,54,93,3747971013,689623,53.55519201,5.873755986
Drought,China,2018,62,106,570865054,67583,-49.15307077,-145.1808599
Wildfire,China,2011,39,110,3486618021,337044,39.85944113,87.75456273
Volcanic Eruption,Nigeria,2008,45,122,4033372050,785648,14.96996016,-140.632584
Drought,Brazil,1985,48,85,681276676,815226,-57.69895189,-34.22962319
Drought,Brazil,2002,50,101,2157711173,799523,-24.81618578,109.664079
Landslide,Philippines,2018,48,81,3705653378,985926,69.0457343,-11.67466982
Storm,Bangladesh,1990,56,102,2885056224,480324,69.64859219,123.1255871
Drought,Nigeria,1978,42,116,3619304121,801593,51.83906443,-56.92272406
Landslide,Philippines,1975,47,98,1076456851,921662,77.44914446,164.7490658
Flood,India,2020,57,85,3816440102,910044,52.91633145,-104.5913646
Storm,Bangladesh,2014,43,96,3246325968,27663,-58.57141378,-166.2249078
Volcanic Eruption,Bangladesh,2004,39,97,3131660743,740741,-19.70319236,134.0735555
Drought,Mexico,2008,56,100,3659622699,399949,-55.71261449,90.79297774
Tsunami,Mexico,1991,52,79,1551360588,362105,-46.82488438,-96.48581866
Earthquake,USA,2010,51,110,4921538264,758707,-29.36228563,174.5069786
Flood,USA,2023,47,112,1428377341,163073,10.49819649,0.820846537
Flood,China,1974,53,111,1956345493,956632,58.65448048,162.3835585
Volcanic Eruption,India,2011,62,103,2291967221,967134,60.67534586,1.810357699
Landslide,Indonesia,1992,51,81,2194908893,140401,26.2682602,-10.12514876
Flood,Indonesia,1986,56,87,2346286595,839537,69.94463147,-18.31012663
Storm,Mexico,1981,42,100,3616098734,849868,10.00872572,-59.44490059
Drought,Mexico,1992,55,109,3817544407,390523,64.46504618,12.13253898
Drought,Mexico,1985,49,103,2408149639,130705,3.569135886,-17.0803217
Tsunami,Nigeria,1972,46,99,2506640408,254928,-21.18849896,-166.7711244
Volcanic Eruption,Japan,1999,48,111,2054262978,745708,68.29780853,-86.24331597
Earthquake,USA,1991,52,112,851745952,616923,-5.689089405,-103.275792
Landslide,Nigeria,1978,58,85,2432155813,593867,10.47657524,132.2768168
Earthquake,Brazil,1998,58,103,191707145,276386,-13.95951145,35.5931918
Flood,Indonesia,2016,46,107,4956001342,98901,32.79726404,94.92591616
Volcanic Eruption,Bangladesh,2006,47,95,851288655,747174,79.3043715,164.4573736
Tsunami,USA,1992,36,108,3955665827,649344,-56.42810316,51.85413811
Earthquake,Philippines,1982,52,111,3191262358,420349,65.97872084,173.7395969
Storm,Brazil,2001,45,102,1103203738,155812,-59.45035202,-67.76494141
Drought,USA,2015,58,113,2883310357,362772,-9.00809664,-112.9438144
Flood,Nigeria,2021,58,91,4115203072,30976,-36.39504712,-34.80844032
Tsunami,India,2016,56,98,3306565616,171139,46.02784929,-10.51221062
Earthquake,Bangladesh,2017,43,116,2595237554,11231,-52.91448229,142.3301554
Landslide,USA,1992,59,66,4255715299,983609,17.4878935,21.57855805
Storm,Japan,2014,41,104,1140569349,134400,-18.71034126,-74.81484021
Storm,Mexico,1986,66,94,4563721934,245900,-41.28616516,87.34834183
Earthquake,Mexico,2009,47,95,4433968311,25261,48.05454969,2.09949737
Drought,Bangladesh,1990,55,89,3053381207,287406,-29.5616432,-121.6324997
Earthquake,Nigeria,1971,56,91,3566820848,396496,-28.68547031,27.65512353
Flood,Mexico,2006,50,113,2728736048,162814,-21.48925008,148.1020333
Earthquake,USA,1975,47,97,3888059616,3590,22.14734694,123.3441423
Storm,Philippines,2013,47,102,2998784301,378870,32.35323044,31.25159015
Tsunami,Indonesia,1987,50,94,1594238071,181298,-57.53564668,-44.2500574
Earthquake,Indonesia,1999,47,100,779498462,611830,-26.13825094,-148.6876496
Drought,Brazil,1991,54,114,3972330657,13570,0.335917951,-10.9263876
Volcanic Eruption,China,2023,55,88,4740913681,231601,-13.5232267,90.74859751
Tsunami,India,2002,53,105,1166718569,750489,63.78389219,-50.3014609
Landslide,Bangladesh,1999,52,97,3936758148,506398,50.27922232,-95.2391428
Wildfire,Brazil,1986,51,92,1744945284,795965,27.62463018,155.2966989
Earthquake,China,2012,38,107,2910304970,388034,-12.67406176,115.7600522
Drought,Nigeria,2001,66,120,3126687002,999787,38.09412828,49.77922299
Tsunami,Japan,2011,49,99,3881074464,406582,58.1093218,-130.7579962
Drought,Japan,2020,51,106,993699493,900251,23.27625283,-127.8328175
Landslide,India,1983,44,114,4665568752,255019,49.82460537,-142.8409471
Storm,Mexico,1979,42,94,4534190630,862800,44.8746946,41.86680008
Drought,USA,2016,49,73,3771311912,945829,20.04322356,-138.3973933
Tsunami,Brazil,2020,44,113,4181236050,559086,-16.29434964,123.3457916
Drought,Brazil,2005,53,105,2979619618,694813,44.40950212,177.4674007
Drought,Bangladesh,2003,48,112,39280105,809281,-31.04850871,-48.1146535
Drought,Bangladesh,1978,52,113,811166146,711303,49.12836851,-16.67885509
Flood,Japan,2011,51,118,283983128,923661,52.6365369,76.20018371
Flood,Japan,1997,65,92,2013235329,374116,55.10028314,157.3750823
Storm,Philippines,1980,36,101,2846773446,947682,6.208235937,141.8737585
Earthquake,Philippines,1983,44,103,1950124485,737897,-33.05269251,-159.2669417
Drought,Mexico,2008,49,104,2708049315,815462,-46.03869599,-119.1341511
Landslide,Philippines,2016,47,105,2318459707,251197,44.07057507,91.65499148
Earthquake,USA,2023,50,100,225651570,126026,64.07659383,68.00151889
Landslide,USA,1988,53,126,4432571011,182206,31.11737024,-132.0413061
Earthquake,Brazil,2023,43,97,1938751439,644686,-39.81759155,0.743249521
Storm,Indonesia,1984,55,106,3718885126,327873,70.88550279,101.0932672
Drought,USA,1997,52,116,4943774785,8164,78.47428204,-101.2389544
Drought,China,1993,49,99,56222713,741738,0.673005391,133.6635489
Wildfire,Japan,1977,51,88,473357221,525407,23.2755405,-160.9301611
Landslide,Bangladesh,2012,45,111,1562904006,537639,48.8119928,101.5902306
Earthquake,Philippines,1978,38,93,829980827,711423,43.09457061,41.69480392
Earthquake,Brazil,2016,55,97,2989711456,596364,75.49020687,-66.5282352
Volcanic Eruption,India,2002,50,103,1569594848,831594,-43.91636725,79.5357174
Volcanic Eruption,Bangladesh,2002,49,118,1614132230,293904,21.30148126,101.6516863
Flood,China,1988,54,102,333064052,967182,36.87039875,156.2036297
Wildfire,Philippines,1972,46,118,966331593,747424,64.61377939,-47.60111802
Tsunami,China,1979,50,96,3793138792,89074,62.37534788,66.96602495
Volcanic Eruption,Japan,2009,34,97,2458766680,905999,76.9199711,36.9418597
Tsunami,Japan,2016,59,105,4836440355,490994,11.69098355,9.074185005
Flood,Mexico,2011,43,103,328859077,440844,56.30652135,140.5499307
Flood,Brazil,1970,48,89,588890263,759509,-0.180560862,-178.8597669
Flood,Bangladesh,1998,56,108,4020556698,786070,-0.8760571,-78.4398218
Landslide,Nigeria,2019,35,112,4719757205,171811,-24.53122897,13.77980624
Landslide,Nigeria,2003,49,71,4267706894,29738,54.55322018,-115.8144258
Storm,Bangladesh,2020,65,77,1720621932,524209,78.01411481,146.8319521
Storm,India,1982,45,100,701599842,248433,-24.11215803,53.13424234
Flood,Brazil,2023,60,93,970506265,309065,-52.14157768,-7.962121932
Wildfire,China,1970,56,96,2260905820,384592,54.17594124,113.2926333
Earthquake,India,2003,51,94,4845792127,780637,26.83220735,-17.68097107
